Page	Paragraph	Line	Word
6	1	1	1	Welcome
6	1	4	4	Whose
6	3	5	4	And
7	1	1	3	Fire
7	4	1	4	Fills
7	5	1	1	The
8	1	1	2	Drive
8	2	3	1	Bunks
8	3	2	4	Banks
9	1	4	2	Yellow
9	3	1	2	Rating
9	3	1	1	The
14	3	4	1	Worlds
14	3	4	2	For
14	3	4	4	Favourable
15	1	1	5	Return
15	2	3	2	Hyperspace
15	2	3	3	Fuel
16	1	3	3	Orbit
16	2	1	1	Any
17	1	1	3	For
22	1	1	1	Docking
22	1	2	1	Unless
22	2	1	1	Locate
25	1	1	2	Cobra
25	1	5	1	Outrun
25	2	1	1	If
25	2	2	3	There
27	1	2	2	Pirate
27	2	1	1	Small
29	1	2	1	Engaged
29	2	1	4	Battle
29	2	2	4	Thargons
30	1	1	2	The
30	1	1	1	Before
30	1	4	2	Of
30	2	1	5	Are
33	1	2	1	Missile
33	2	1	1	Pressing
33	3	2	4	Sequence
35	1	1	2	Shield
35	2	3	2	Any
36	2	1	2	Is
36	3	2	1	Level
36	4	1	1	Since
37	1	1	2	It
37	2	3	1	Once
37	2	4	1	Pressing
44	1	1	4	Craft
44	1	1	3	Cobra
44	1	4	2	May
46	1	1	5	Variable
46	1	1	4	Under
